<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.02	0.65630	0.66070	0.65630	0.65930	72	0	50
2000.01.03	0.65950	0.66150	0.65570	0.65710	2182	0	50
2000.01.04	0.65730	0.65940	0.65410	0.65600	2939	0	50
2000.01.05	0.65600	0.66000	0.65350	0.65770	3188	0	50
2000.01.06	0.65780	0.65890	0.65250	0.65320	3395	0	50
2000.01.07	0.65330	0.65620	0.65220	0.65510	2317	0	50
2000.01.09	0.65470	0.65630	0.65470	0.65560	99	0	50
2000.01.10	0.65550	0.65740	0.65370	0.65610	2649	0	50
2000.01.11	0.65590	0.65900	0.65270	0.65780	3011	0	50
2000.01.12	0.65790	0.66380	0.65670	0.66240	2687	0	50
2000.01.13	0.66240	0.66870	0.66180	0.66600	3199	0	50
2000.01.14	0.66680	0.66770	0.66470	0.66570	2245	0	50
2000.01.16	0.66480	0.66580	0.66430	0.66450	136	0	50
2000.01.17	0.66450	0.66630	0.66300	0.66360	2443	0	50
2000.01.18	0.66340	0.66640	0.66200	0.66500	2627	0	50
2000.01.19	0.66480	0.66600	0.66220	0.66390	2824	0	50
2000.01.20	0.66370	0.66760	0.66150	0.66520	3006	0	50
2000.01.21	0.66530	0.66570	0.66140	0.66250	2624	0	50
2000.01.23	0.65900	0.65940	0.65810	0.65930	117	0	50
2000.01.24	0.65930	0.65950	0.65270	0.65540	3403	0	50
2000.01.25	0.65530	0.65750	0.65370	0.65540	2504	0	50
2000.01.26	0.65530	0.65750	0.64970	0.65220	2871	0	50
2000.01.27	0.65260	0.65600	0.65110	0.65240	2630	0	50
2000.01.28	0.65260	0.65270	0.62290	0.63450	4278	0	50
2000.01.30	0.63900	0.63900	0.63650	0.63820	161	0	50
2000.01.31	0.63790	0.64000	0.63320	0.63660	3523	0	50
2000.02.01	0.63680	0.64120	0.62940	0.63910	3246	0	50
2000.02.02	0.63950	0.64050	0.63370	0.63610	3581	0	50
2000.02.03	0.63650	0.64050	0.63040	0.63220	4314	0	50
2000.02.04	0.63230	0.63870	0.62870	0.63700	3965	0	50
2000.02.06	0.63790	0.63990	0.63790	0.63890	131	0	50
2000.02.07	0.63880	0.64300	0.63230	0.63480	4004	0	50
2000.02.08	0.63470	0.63710	0.63110	0.63250	3841	0	50
2000.02.09	0.63300	0.63850	0.63040	0.63230	4188	0	50
2000.02.10	0.63220	0.63520	0.62530	0.62820	4457	0	50
2000.02.11	0.62820	0.63350	0.62740	0.63150	2959	0	50
2000.02.13	0.63170	0.63200	0.63100	0.63140	154	0	50
2000.02.14	0.63150	0.63300	0.62590	0.62680	2527	0	50
2000.02.15	0.62680	0.63120	0.62380	0.63060	3670	0	50
2000.02.16	0.63060	0.63340	0.62790	0.63150	3808	0	50
2000.02.17	0.63120	0.63550	0.62930	0.63240	3634	0	50
2000.02.18	0.63260	0.63400	0.62820	0.62930	2608	0	50
2000.02.20	0.62880	0.62940	0.62740	0.62820	251	0	50
2000.02.21	0.62820	0.62960	0.62500	0.62640	3440	0	50
2000.02.22	0.62630	0.62800	0.61980	0.62080	3557	0	50
2000.02.23	0.62080	0.62370	0.61900	0.62080	3847	0	50
2000.02.24	0.62100	0.62200	0.61350	0.61650	4344	0	50
