<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<SPREAD>,<GROW>,<GROWTH>
1577836800,0.70144,0.70195,0.7005100000000001,0.7018800000000001,1382,2,0.00044000000000010697,no
1577923200,0.7018800000000001,0.70198,0.69786,0.6983199999999999,27492,2,-0.0035600000000001186,yes
1578009600,0.6983199999999999,0.69865,0.69303,0.69448,32807,2,-0.0038399999999999546,yes
1578182400,0.6941,0.69448,0.69326,0.69435,2456,2,0.00024999999999997247,no
1578268800,0.69434,0.69577,0.6925399999999999,0.6936899999999999,28884,2,-0.0006500000000000394,yes
1578355200,0.6937,0.69393,0.68501,0.68597,34415,2,-0.007730000000000015,yes
1578441600,0.68597,0.6885600000000001,0.6849,0.68753,45198,2,0.0015600000000000058,no
1578528000,0.68753,0.68806,0.68503,0.68534,26889,2,-0.0021900000000000253,yes
1578614400,0.68534,0.69111,0.68509,0.68987,29148,2,0.004530000000000034,no
1578787200,0.68975,0.69057,0.68929,0.68997,1302,2,0.00021999999999999797,no
1578873600,0.68996,0.69198,0.68947,0.6897300000000001,25373,2,-0.00022999999999995246,yes
1578960000,0.6897300000000001,0.69097,0.6885100000000001,0.6894600000000001,29334,2,-0.00026999999999999247,yes
1579046400,0.6894600000000001,0.69166,0.68772,0.69072,28213,2,0.0012599999999999278,no
1579132800,0.69072,0.6933699999999999,0.6887800000000001,0.68983,29664,2,-0.0008899999999999464,yes
1579219200,0.68983,0.69109,0.68705,0.68713,25708,2,-0.0027000000000000357,yes
1579392000,0.68725,0.6883,0.6872,0.68813,1225,2,0.0008799999999999919,no
1579478400,0.68813,0.68885,0.68553,0.68755,18387,2,-0.0005800000000000249,yes
1579564800,0.68755,0.68805,0.68419,0.6847,29455,2,-0.002850000000000019,yes
1579651200,0.6847300000000001,0.6856300000000001,0.6827,0.68414,26974,2,-0.0005900000000000905,yes
1579737600,0.68413,0.68788,0.68294,0.68485,35546,2,0.0007199999999999429,no
1579824000,0.68484,0.68574,0.68176,0.6826,26889,2,-0.0022400000000000198,yes
1579996800,0.6811699999999999,0.68182,0.6801,0.68013,3866,2,-0.0010399999999999299,yes
1580083200,0.68012,0.6817,0.67527,0.6761699999999999,29263,2,-0.003950000000000009,yes
1580169600,0.6761699999999999,0.67666,0.6737,0.67638,29925,2,0.00021000000000004349,no
1580256000,0.67638,0.67772,0.67352,0.67532,30617,0,-0.0010599999999999499,yes
1580342400,0.67532,0.67533,0.67,0.6705399999999999,37511,2,-0.0047800000000001175,yes
1580428800,0.6705399999999999,0.67296,0.66828,0.6686,35169,2,-0.0019399999999999418,yes
1580601600,0.66852,0.66956,0.6684100000000001,0.66928,2209,2,0.0007599999999999829,no
1580688000,0.66922,0.6707,0.66837,0.66897,34708,2,-0.0002500000000000835,yes
1580774400,0.66896,0.67418,0.66789,0.67311,34536,1,0.004149999999999987,no
1580860800,0.67311,0.67743,0.67237,0.67515,34091,2,0.0020400000000000418,no
1580947200,0.67515,0.6764899999999999,0.67269,0.67313,27747,2,-0.0020200000000000218,yes
1581033600,0.6731199999999999,0.67314,0.66622,0.66766,29280,2,-0.005459999999999909,yes
1581206400,0.6667,0.66784,0.66666,0.66699,2433,2,0.00029000000000001247,no
1581292800,0.66701,0.67074,0.66679,0.66895,30587,2,0.0019400000000000528,no
1581379200,0.66895,0.67366,0.6681,0.67184,27546,2,0.002889999999999948,no
1581465600,0.67184,0.67499,0.67068,0.6713,29940,2,-0.0005399999999999849,yes
1581552000,0.6713100000000001,0.6744899999999999,0.67096,0.67189,31485,2,0.0005799999999999139,no
1581638400,0.67191,0.67314,0.67092,0.6713899999999999,21164,2,-0.000520000000000076,yes
1581811200,0.67208,0.67295,0.67167,0.6725399999999999,1271,2,0.00045999999999990493,no
1581897600,0.6725300000000001,0.67333,0.67069,0.67096,16998,2,-0.0015700000000000713,yes
1581984000,0.67095,0.67096,0.6673600000000001,0.6694,26206,2,-0.0015500000000000513,yes
1582070400,0.6694,0.67076,0.6665300000000001,0.66809,23565,0,-0.0013100000000000334,yes
1582156800,0.66806,0.66948,0.66103,0.66117,36387,2,-0.006889999999999952,yes
1582243200,0.66117,0.66389,0.65859,0.6627,31850,2,0.0015299999999999203,no
1582416000,0.65897,0.66087,0.65897,0.66057,3079,2,0.0016000000000000458,no
1582502400,0.66057,0.66197,0.65866,0.66105,42035,2,0.00048000000000003595,no
1582588800,0.66106,0.6622399999999999,0.65862,0.6604899999999999,42888,2,-0.0005700000000000705,yes
1582675200,0.6604899999999999,0.66069,0.65422,0.65467,47324,2,-0.005819999999999936,yes
1582761600,0.65469,0.6591899999999999,0.6543399999999999,0.6580199999999999,56291,2,0.003329999999999944,no
1582848000,0.6580199999999999,0.65852,0.64339,0.65058,78870,2,-0.007439999999999891,yes
1583020800,0.64767,0.6525,0.64718,0.6513,3165,2,0.003630000000000022,no
1583107200,0.65135,0.6568,0.6489,0.65489,66434,2,0.0035399999999999876,no
1583193600,0.65487,0.66452,0.65095,0.6582899999999999,63405,0,0.0034199999999999786,no
1583280000,0.6582899999999999,0.66295,0.6582899999999999,0.66283,42157,0,0.0045400000000000995,no
1583366400,0.66283,0.66368,0.65838,0.66161,35486,2,-0.0012199999999999989,yes
1583452800,0.66161,0.66574,0.65851,0.66437,47684,1,0.0027599999999999847,no
1583625600,0.66023,0.66232,0.6593600000000001,0.66123,6706,2,0.0010000000000000009,no
1583712000,0.66123,0.6684899999999999,0.6302,0.65971,82663,2,-0.0015199999999999658,yes
1583798400,0.65976,0.66038,0.64625,0.64941,70138,2,-0.01034999999999997,yes
