<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.01	0.70144	0.70195	0.70051	0.70188	1382	0	2
2020.01.02	0.70188	0.70198	0.69786	0.69832	27492	0	2
2020.01.03	0.69832	0.69865	0.69303	0.69448	32807	0	2
2020.01.05	0.69410	0.69448	0.69326	0.69435	2456	0	2
2020.01.06	0.69434	0.69577	0.69254	0.69369	28884	0	2
2020.01.07	0.69370	0.69393	0.68501	0.68597	34415	0	2
2020.01.08	0.68597	0.68856	0.68490	0.68753	45198	0	2
2020.01.09	0.68753	0.68806	0.68503	0.68534	26889	0	2
2020.01.10	0.68534	0.69111	0.68509	0.68987	29148	0	2
2020.01.12	0.68975	0.69057	0.68929	0.68997	1302	0	2
2020.01.13	0.68996	0.69198	0.68947	0.68973	25373	0	2
2020.01.14	0.68973	0.69097	0.68851	0.68946	29334	0	2
2020.01.15	0.68946	0.69166	0.68772	0.69072	28213	0	2
2020.01.16	0.69072	0.69337	0.68878	0.68983	29664	0	2
2020.01.17	0.68983	0.69109	0.68705	0.68713	25708	0	2
2020.01.19	0.68725	0.68830	0.68720	0.68813	1225	0	2
2020.01.20	0.68813	0.68885	0.68553	0.68755	18387	0	2
2020.01.21	0.68755	0.68805	0.68419	0.68470	29455	0	2
2020.01.22	0.68473	0.68563	0.68270	0.68414	26974	0	2
2020.01.23	0.68413	0.68788	0.68294	0.68485	35546	0	2
2020.01.24	0.68484	0.68574	0.68176	0.68260	26889	0	2
2020.01.26	0.68117	0.68182	0.68010	0.68013	3866	0	2
2020.01.27	0.68012	0.68170	0.67527	0.67617	29263	0	2
2020.01.28	0.67617	0.67666	0.67370	0.67638	29925	0	2
2020.01.29	0.67638	0.67772	0.67352	0.67532	30617	0	0
2020.01.30	0.67532	0.67533	0.67000	0.67054	37511	0	2
2020.01.31	0.67054	0.67296	0.66828	0.66860	35169	0	2
2020.02.02	0.66852	0.66956	0.66841	0.66928	2209	0	2
2020.02.03	0.66922	0.67070	0.66837	0.66897	34708	0	2
