<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.03	0.76967	0.77140	0.76898	0.77110	2208	0	2
2021.01.04	0.77110	0.77405	0.76424	0.76693	63202	0	2
2021.01.05	0.76693	0.77775	0.76608	0.77624	63957	0	2
2021.01.06	0.77628	0.78201	0.77329	0.78155	89942	0	2
2021.01.07	0.78156	0.78162	0.77255	0.77685	65755	0	2
2021.01.08	0.77684	0.77987	0.77283	0.77648	77841	0	2
2021.01.10	0.77540	0.77598	0.77117	0.77204	2938	0	2
2021.01.11	0.77204	0.77309	0.76663	0.77071	64368	0	2
2021.01.12	0.77071	0.77774	0.76867	0.77755	59699	0	2
2021.01.13	0.77755	0.77814	0.77217	0.77463	54884	0	2
2021.01.14	0.77463	0.78054	0.77286	0.77755	55408	0	2
2021.01.15	0.77754	0.77886	0.76816	0.77032	56918	0	2
2021.01.17	0.77064	0.77103	0.76830	0.76830	2060	0	2
2021.01.18	0.76831	0.77041	0.76588	0.76847	47028	0	2
2021.01.19	0.76847	0.77251	0.76846	0.77133	50564	0	1
2021.01.20	0.77133	0.77632	0.77004	0.77548	49953	0	2
2021.01.21	0.77548	0.77820	0.77413	0.77595	52107	0	1
2021.01.22	0.77595	0.77688	0.77019	0.77153	49973	0	2
2021.01.24	0.77126	0.77209	0.77054	0.77133	1909	0	2
2021.01.25	0.77138	0.77473	0.76828	0.77147	58122	0	2
2021.01.26	0.77146	0.77543	0.76689	0.77533	47662	0	2
2021.01.27	0.77532	0.77637	0.76410	0.76482	74563	0	2
2021.01.28	0.76484	0.76978	0.75919	0.76706	79508	0	1
2021.01.29	0.76707	0.77039	0.76314	0.76413	86634	0	2
2021.01.31	0.76250	0.76303	0.76057	0.76207	3751	0	2
2021.02.01	0.76205	0.76625	0.76124	0.76333	70756	0	2
2021.02.02	0.76333	0.76614	0.75636	0.76056	60054	0	2
2021.02.03	0.76056	0.76370	0.76015	0.76362	50984	0	2
2021.02.04	0.76362	0.76475	0.75881	0.76002	49422	0	2
2021.02.05	0.76002	0.76786	0.75828	0.76773	46669	0	2
2021.02.07	0.76677	0.76815	0.76666	0.76782	2391	0	2
2021.02.08	0.76782	0.77148	0.76511	0.77082	36759	0	2
2021.02.09	0.77081	0.77428	0.77039	0.77397	41605	0	2
2021.02.10	0.77397	0.77559	0.77172	0.77236	50490	0	2
2021.02.11	0.77235	0.77715	0.77126	0.77516	38125	0	2
2021.02.12	0.77516	0.77644	0.77180	0.77610	32538	0	2
2021.02.14	0.77616	0.77674	0.77581	0.77628	1607	0	2
2021.02.15	0.77629	0.77887	0.77595	0.77852	26591	0	2
2021.02.16	0.77852	0.78052	0.77305	0.77353	49441	0	2
2021.02.17	0.77353	0.77718	0.77243	0.77581	53090	0	2
2021.02.18	0.77578	0.77895	0.77311	0.77682	54137	0	2
2021.02.19	0.77682	0.78772	0.77575	0.78684	55228	0	2
2021.02.21	0.78705	0.78918	0.78659	0.78822	2069	0	2
2021.02.22	0.78822	0.79291	0.78552	0.79141	57335	0	2
2021.02.23	0.79141	0.79345	0.78803	0.79069	61275	0	2
2021.02.24	0.79069	0.79777	0.78951	0.79756	66777	0	1
2021.02.25	0.79755	0.80071	0.78585	0.78623	84984	0	2
2021.02.26	0.78623	0.78717	0.76920	0.77030	91560	0	2
2021.02.28	0.77102	0.77590	0.77073	0.77524	2837	0	2
2021.03.01	0.77526	0.77868	0.77216	0.77732	64047	0	2
2021.03.02	0.77730	0.78375	0.77357	0.78241	72203	0	2
2021.03.03	0.78242	0.78381	0.77523	0.77527	68438	0	2
2021.03.04	0.77527	0.78150	0.77043	0.77141	87996	0	2
2021.03.05	0.77141	0.77266	0.76217	0.76820	84475	0	2
2021.03.07	0.76915	0.77224	0.76909	0.77080	2939	0	2
2021.03.08	0.77080	0.77140	0.76350	0.76553	79461	0	2
2021.03.09	0.76553	0.77258	0.76213	0.77150	66150	0	2
2021.03.10	0.77150	0.77455	0.76685	0.77301	62543	0	2
2021.03.11	0.77301	0.77936	0.77230	0.77853	55882	0	2
2021.03.12	0.77850	0.78006	0.77241	0.77584	62817	0	2
2021.03.14	0.77500	0.77632	0.77457	0.77620	2460	0	2
2021.03.15	0.77621	0.77755	0.77056	0.77479	52439	0	2
2021.03.16	0.77479	0.77574	0.77106	0.77460	45620	0	2
2021.03.17	0.77461	0.78143	0.76991	0.78142	52045	0	2
2021.03.18	0.78145	0.78491	0.77492	0.77524	69001	0	2
2021.03.19	0.77528	0.77722	0.77174	0.77459	59565	0	2
2021.03.21	0.77085	0.77298	0.77078	0.77225	2574	0	2
2021.03.22	0.77226	0.77563	0.77049	0.77445	47108	0	2
2021.03.23	0.77443	0.77466	0.75990	0.76063	57340	0	2
2021.03.24	0.76065	0.76280	0.75776	0.75906	52875	0	2
2021.03.25	0.75909	0.76140	0.75630	0.75923	58277	0	2
2021.03.26	0.75923	0.76409	0.75875	0.76408	43799	0	2
2021.03.28	0.76333	0.76448	0.76244	0.76369	2113	0	2
2021.03.29	0.76370	0.76556	0.76150	0.76384	46980	0	2
2021.03.30	0.76385	0.76640	0.75848	0.76085	46117	0	2
2021.03.31	0.76085	0.76365	0.75881	0.75938	43665	0	4
2021.04.01	0.75938	0.76197	0.75319	0.76165	46254	0	4
2021.04.02	0.76168	0.76374	0.75908	0.76094	11234	0	4
2021.04.04	0.76042	0.76208	0.76016	0.76192	2194	0	4
2021.04.05	0.76193	0.76604	0.75982	0.76572	30929	0	2
2021.04.06	0.76570	0.76681	0.76058	0.76661	44297	0	2
2021.04.07	0.76661	0.76771	0.76005	0.76133	46381	0	2
2021.04.08	0.76133	0.76602	0.76025	0.76563	38729	0	4
2021.04.09	0.76565	0.76608	0.75881	0.76185	37783	0	4
2021.04.11	0.76195	0.76275	0.76088	0.76212	2197	0	6
2021.04.12	0.76211	0.76355	0.75946	0.76269	38567	0	2
2021.04.13	0.76269	0.76528	0.75849	0.76470	44266	0	2
2021.04.14	0.76472	0.77378	0.76345	0.77245	43534	0	2
2021.04.15	0.77241	0.77609	0.77054	0.77508	44844	0	2
2021.04.16	0.77509	0.77589	0.77239	0.77337	37686	0	2
2021.04.18	0.77288	0.77301	0.77133	0.77133	1840	0	2
2021.04.19	0.77135	0.77844	0.77060	0.77645	44003	0	2
2021.04.20	0.77645	0.78157	0.77091	0.77221	46483	0	2
2021.04.21	0.77224	0.77622	0.76993	0.77539	43191	0	0
2021.04.22	0.77541	0.77645	0.76904	0.77038	49217	0	2
2021.04.23	0.77040	0.77603	0.77001	0.77486	35725	0	2
2021.04.25	0.77410	0.77527	0.77386	0.77422	1548	0	2
2021.04.26	0.77427	0.78150	0.77416	0.77966	34050	0	2
2021.04.27	0.77963	0.78035	0.77614	0.77673	31934	0	2
2021.04.28	0.77672	0.78061	0.77249	0.78009	38198	0	2
2021.04.29	0.78009	0.78177	0.77501	0.77769	37810	0	2
2021.04.30	0.77769	0.77840	0.76960	0.77117	36460	0	2
2021.05.02	0.77120	0.77213	0.77118	0.77200	1107	0	1
2021.05.03	0.77201	0.77666	0.77061	0.77581	29734	0	2
2021.05.04	0.77580	0.77608	0.76750	0.77130	44880	0	2
2021.05.05	0.77132	0.77547	0.77040	0.77510	33905	0	1
2021.05.06	0.77509	0.77881	0.77010	0.77869	40779	0	2
2021.05.07	0.77869	0.78621	0.77608	0.78435	38839	0	2
2021.05.09	0.78475	0.78620	0.78427	0.78581	1498	0	2
2021.05.10	0.78581	0.78907	0.78267	0.78402	40565	0	2
2021.05.11	0.78405	0.78563	0.78200	0.78374	44807	0	2
2021.05.12	0.78375	0.78421	0.77191	0.77321	52084	0	2
2021.05.13	0.77321	0.77459	0.76880	0.77236	51149	0	2
2021.05.14	0.77240	0.77872	0.77137	0.77825	39007	0	2
